data_post,texto_post,username_curtiu,nome_completo_curtiu,verificado,url_foto_perfil,status_relacao,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado_extra,status_conta
2022-12-25T14:11:02.000Z,,paulo_diniz_pso,paulo_diniz_pso,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/470987745_445698891940156_520696038443987536_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QE2Oq9QmXovVsDDQzJQPeDQHkVG9Fr67rpLQDdSWWrBrks1bNoEB7uVbcqzucQ0uVo&_nc_ohc=yB485c0JzS4Q7kNvwGieJP1&_nc_gid=6anYsta5CV9bLrYGnVQbyw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfSD18tsY2oSWBTzUrKRTQImVdcGRjH_2c1bnQfUxSLK_g&oe=688807CF&_nc_sid=8809c9,Seguir,paulo_diniz_pso 379 379 4.468 4.468 6.666 6.666 Paulo Diniz Político Profissional Gestão Pública Evangélico Graduado C. Contábeis Pós Dir. Tributário ... mais Profissional Gestão Pública Evangélico Graduado C. Contábeis Pós Dir. Tributário ... mais mais Meus tesouros 😍 esporte amigos família pescaria 🎣 Meus tesouros 😍 esporte amigos família pescaria 🎣,379,379,4468,https://www.threads.com/@paulo_diniz_pso?xmt=AQF04onjUrd9UI_F03ooopE5xTwvM6DPBQ7ZddZ58W9HyOw,False,Pública
2022-12-25T14:11:02.000Z,,isamarinhoo_,isamarinhoo_,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/522190535_18523803076002819_6714439162124233104_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44MDAuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QE2Oq9QmXovVsDDQzJQPeDQHkVG9Fr67rpLQDdSWWrBrks1bNoEB7uVbcqzucQ0uVo&_nc_ohc=yC5kpn9CN2EQ7kNvwFJ3qVW&_nc_gid=6anYsta5CV9bLrYGnVQbyw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfTRdShU7UsXJ--RzDTNLaRwgQcNYhw7XBIix-FV4Jp0Lg&oe=6887E66E&_nc_sid=8809c9,Seguir,isamarinhoo_ 61 61 1.462 1.462 669 669 Isabela Marinho,61,61,1462,,False,Pública
2022-12-25T14:11:02.000Z,,luanarosarego,luanarosarego,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/417492032_1127125105325664_3593082286753133871_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QE2Oq9QmXovVsDDQzJQPeDQHkVG9Fr67rpLQDdSWWrBrks1bNoEB7uVbcqzucQ0uVo&_nc_ohc=b5HPnyLaG4kQ7kNvwF26jIu&_nc_gid=6anYsta5CV9bLrYGnVQbyw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQ6IM6WHuWnwaY5Wvw6FiwOKqCQua4fDPqTagsC0uWc7g&oe=6887FFDF&_nc_sid=8809c9,Seguir,luanarosarego 41 41 1.023 1.023 1.042 1.042 Luana Priscilla Devoc 🙏,41,41,1023,,False,Pública
2022-12-25T14:11:02.000Z,,dra.isarodriigues,dra.isarodriigues,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/500281899_18505332886006404_4502490767311374031_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QE2Oq9QmXovVsDDQzJQPeDQHkVG9Fr67rpLQDdSWWrBrks1bNoEB7uVbcqzucQ0uVo&_nc_ohc=C4l1ZUtlgHEQ7kNvwE5D2FV&_nc_gid=6anYsta5CV9bLrYGnVQbyw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQxmeSy7xQmMAL0KpprluOCE6_f4hx8DbS3G-3VkNmk9Q&oe=68880A8A&_nc_sid=8809c9,Seguir,dra.isarodriigues 81 81 5.020 5.020 4.253 4.253 Dra. Isadora Rodrigues Cirurgiã Dentista 📍063 Dra. Isadora Rodrigues Cirurgiã Dentista 📍063,81,81,5020,,False,Pública
2022-12-25T14:11:02.000Z,,cajueiroe,cajueiroe,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/20838888_257152438107546_6857777704612134912_a.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QE2Oq9QmXovVsDDQzJQPeDQHkVG9Fr67rpLQDdSWWrBrks1bNoEB7uVbcqzucQ0uVo&_nc_ohc=MRDmoXgvulAQ7kNvwHIAuyp&_nc_gid=6anYsta5CV9bLrYGnVQbyw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQmRmFe5lpioyff2j1aFRoUjxcbe9pN42ruciDwhtV2xg&oe=6887FF66&_nc_sid=8809c9,Seguir,cajueiroe 89 89 2.068 2.068 7.496 7.496 Elvis Cajueiro Destaques Destaques Destaques Destaques Destaques Destaques,89,89,2068,,False,Pública
2022-12-25T14:11:02.000Z,,samfarias95,samfarias95,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/66340533_1313958148756703_4103942956153569280_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QE2Oq9QmXovVsDDQzJQPeDQHkVG9Fr67rpLQDdSWWrBrks1bNoEB7uVbcqzucQ0uVo&_nc_ohc=gv4hUiBCKVcQ7kNvwEkeMWc&_nc_gid=6anYsta5CV9bLrYGnVQbyw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQ_HUrghlKGKB7DqCbvWp7kR0v5nqIPp93v4EkJBRG-EA&oe=68881462&_nc_sid=8809c9,Seguir,samfarias95 3 3 351 351 514 514 Samuel Farias 10.9 Weekend,3,3,351,,False,Pública
2022-12-25T14:11:02.000Z,,kamilla_fernandes04,kamilla_fernandes04,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/345882434_2375978635896948_1352794050498858656_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44NTMuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QE2Oq9QmXovVsDDQzJQPeDQHkVG9Fr67rpLQDdSWWrBrks1bNoEB7uVbcqzucQ0uVo&_nc_ohc=jW1zE25yjbAQ7kNvwEhrAAT&_nc_gid=6anYsta5CV9bLrYGnVQbyw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfRw8OZPNV58j0b1IOoYLzb8fdI943nZlbYOYPjInEzZBw&oe=6887E71F&_nc_sid=8809c9,Seguir,kamilla_fernandes04 20 20 1.340 1.340 1.088 1.088 Kamilla Fernandes Paraíso To 📍 Kamilla Fernandes Paraíso To 📍,20,20,1340,,False,Pública
2022-12-25T14:11:02.000Z,,oralimplantes.to,oralimplantes.to,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/479884308_664061316281616_5093726509349782205_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44NjQuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QE2Oq9QmXovVsDDQzJQPeDQHkVG9Fr67rpLQDdSWWrBrks1bNoEB7uVbcqzucQ0uVo&_nc_ohc=o9fAKEWrHoEQ7kNvwEUCEQw&_nc_gid=6anYsta5CV9bLrYGnVQbyw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfRFslaRg2cllOd8zvwXhP-cZlLlCg0SwAC689ICICUC8g&oe=6888032C&_nc_sid=8809c9,Seguir,wa.me/556391372083 oralimplantes.to 163 163 2.855 2.855 3.044 3.044 Oral Implantes - Clínica Odontológica Paraíso • Realizando sonhos odontológicos • Especialistas em implantes e protocolos Conheça mais nossa clínica nos destaques!... mais • Realizando sonhos odontológicos • Especialistas em implantes e protocolos Conheça mais nossa clínica nos destaques! ... mais mais Planos Implante Lentes Aparelho 💙🦷 Finalizados💙🦷 Planos Implante Lentes Aparelho 💙🦷 Finalizados💙🦷,163,163,2855,,False,Pública
2022-12-25T14:11:02.000Z,,monicarodrigues_87,monicarodrigues_87,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/475193305_1997358097455234_3079665995884083539_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QE2Oq9QmXovVsDDQzJQPeDQHkVG9Fr67rpLQDdSWWrBrks1bNoEB7uVbcqzucQ0uVo&_nc_ohc=0C5_5UGnj34Q7kNvwEozIr4&_nc_gid=6anYsta5CV9bLrYGnVQbyw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQ0XR5C_h-GixXaz1bC8YbDleeGRuQPCyFsPJD_UUoVHg&oe=68880C74&_nc_sid=8809c9,Seguir,monicarodrigues_87 1 1 2.718 2.718 1.400 1.400 Mônica Rodrigues  ... mais mais,1,1,2718,https://www.threads.com/@monicarodrigues_87?xmt=AQF0CiwoHfq_XDGjuX2TmjGIhazVeJfwlCCcNkfOIe56TFU,False,Pública
2022-12-25T14:11:02.000Z,,dra_debora.dejesus,dra_debora.dejesus,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/497294144_18497520763061713_2043779494536559227_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QE2Oq9QmXovVsDDQzJQPeDQHkVG9Fr67rpLQDdSWWrBrks1bNoEB7uVbcqzucQ0uVo&_nc_ohc=QPBPoarxx_AQ7kNvwEi2ekI&_nc_gid=6anYsta5CV9bLrYGnVQbyw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfS-0KY38uzZXW8ZiugiIsgCQN9cNvWKjd8e7YJKE2hu7Q&oe=68881C81&_nc_sid=8809c9,Seguir,dra_debora.dejesus 113 113 4.189 4.189 2.802 2.802 Débora de Jesus ... mais mais Clínica ❤️ 🩷 💉 💝 Clínica ❤️ 🩷 💉 💝,113,113,4189,https://www.threads.com/@dra_debora.dejesus?xmt=AQF09TMf3M2dRpLGU5eYKGH_BG6U6sSOowgr2umcbVxS688,False,Pública
