data_post,texto_post,username_curtiu,nome_completo_curtiu,verificado,url_foto_perfil,status_relacao
2024-08-26T20:34:01.000Z,,natifernanda34,natifernanda34,False,https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/279182171_355430733219081_4263966106884749476_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzEifQ&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QGV9_fK2bj3A7G9zko_3poD3ZDVXRr9myOJHCqwd96Xvd86X1yFNICALPiplkKnT764z4zqpoEjIPZnHZgvX69t&_nc_ohc=hvduRrNJNuQQ7kNvwEDBO_b&_nc_gid=MH1lKWPyN12p3NTSNiSIeQ&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfR4dolMEHY5DCW2odV9AoRT_kzKnfcit7HUYDHsznYT_w&oe=68932A38&_nc_sid=8809c9,Seguir
2024-08-26T20:34:01.000Z,,llmikael123,llmikael123,False,https://scontent-gru2-2.cdninstagram.com/v/t51.2885-19/467408110_1092700808930358_5690856415127312587_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMxIn0&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QGV9_fK2bj3A7G9zko_3poD3ZDVXRr9myOJHCqwd96Xvd86X1yFNICALPiplkKnT764z4zqpoEjIPZnHZgvX69t&_nc_ohc=XwGguqqaiZoQ7kNvwG4mwuh&_nc_gid=MH1lKWPyN12p3NTSNiSIeQ&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQyIA3ChmMiYUv4nHACe52gqs4nAsXkirTKNEunQk_uxA&oe=689346C9&_nc_sid=8809c9,Seguir
2024-08-26T20:34:01.000Z,,dilmabrit,dilmabrit,False,https://instagram.fpnz7-1.fna.fbcdn.net/v/t51.2885-19/464760996_1254146839119862_3605321457742435801_n.png?stp=dst-jpg_e0_s150x150_tt6&cb=8577c754-c2464923&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzEifQ&_nc_ht=instagram.fpnz7-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGEppdKR0mx3QY3MeRa45K0_5C9jS3Lat5uI5g2A8kb7vfGfdl9mSX5NPTHu2D0JpX72mrcclgh7HiGcflEScJu&_nc_ohc=cmGW-gSOmkoQ7kNvwFkiCWX&_nc_gid=Qu1ie7vjLcgJbCuv7fAj2Q&edm=AA0lj5EBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5-cb8577c754-c2464923&oh=00_AfRpBstMgrk0wXoCKQIOoDWsBdhODXDvhy6llqfYqTcAqw&oe=689336E8&_nc_sid=0a490e,Seguir
2024-08-26T20:34:01.000Z,,davilasousa922,davilasousa922,False,https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/501461336_17931772284046663_1811138486563794162_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMxIn0&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QGV9_fK2bj3A7G9zko_3poD3ZDVXRr9myOJHCqwd96Xvd86X1yFNICALPiplkKnT764z4zqpoEjIPZnHZgvX69t&_nc_ohc=DT0dntaZ4CwQ7kNvwFXklys&_nc_gid=MH1lKWPyN12p3NTSNiSIeQ&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQbxevhrXO7biaatZbFKZwpvt-RDt_pfMmWp83Ff_UCXw&oe=6893280D&_nc_sid=8809c9,Seguir
2024-08-26T20:34:01.000Z,,nattan9k,nattan9k,False,https://scontent-gru1-1.cdninstagram.com/v/t51.2885-19/467013845_1568550043804348_6417065708259525649_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMxIn0&_nc_ht=scontent-gru1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFK355uT3yDPHs4qE2d8MNqgLeOIS_047S2EKqdNA5ikP1ySrSjGN8vb5SARprt4olUjXGvKlMkjTXC9HY14dCT&_nc_ohc=Dm3kPka2tZYQ7kNvwHIuRmW&_nc_gid=QzAYPPHoARVFZrUNmi543A&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfRHboL1y9X5efiUmjSbQ8E_dteJDlHZP0FV9cfnL1464g&oe=68931C16&_nc_sid=8809c9,Seguir
2024-08-26T20:34:01.000Z,,eudes_silverio,eudes_silverio,False,https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/441141025_311754341799163_8734350826977586360_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMxIn0&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFK355uT3yDPHs4qE2d8MNqgLeOIS_047S2EKqdNA5ikP1ySrSjGN8vb5SARprt4olUjXGvKlMkjTXC9HY14dCT&_nc_ohc=YBh3wLSxmc8Q7kNvwErNNwH&_nc_gid=QzAYPPHoARVFZrUNmi543A&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfSMuOB4EBpNeSN43fix-vikhyA_tROikOkhEV6VjU4-5g&oe=689329F5&_nc_sid=8809c9,Seguir
2024-08-26T20:34:01.000Z,,amorim.luizalberto,amorim.luizalberto,False,https://scontent-gru1-1.cdninstagram.com/v/t51.2885-19/462737304_1204575860823010_8503838334292017412_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzEifQ&_nc_ht=scontent-gru1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFK355uT3yDPHs4qE2d8MNqgLeOIS_047S2EKqdNA5ikP1ySrSjGN8vb5SARprt4olUjXGvKlMkjTXC9HY14dCT&_nc_ohc=c67ZQUAfO20Q7kNvwGAaMkZ&_nc_gid=QzAYPPHoARVFZrUNmi543A&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfSbW79n9Qd8BvtRb9OiRs2jCxb8hBdBwYDYCjzLRab_eQ&oe=68932C02&_nc_sid=8809c9,Seguir
2024-08-26T20:34:01.000Z,,bah_lucas_13,bah_lucas_13,False,https://scontent-gru2-2.cdninstagram.com/v/t51.2885-19/503568362_18069011912293133_3767355051582926653_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMxIn0&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QFK355uT3yDPHs4qE2d8MNqgLeOIS_047S2EKqdNA5ikP1ySrSjGN8vb5SARprt4olUjXGvKlMkjTXC9HY14dCT&_nc_ohc=cmlZsPKnfZAQ7kNvwFmEiqv&_nc_gid=QzAYPPHoARVFZrUNmi543A&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfRNPZRkS_GEeIkqsLM4zZcRu81uA96RqUcTywa-Ag2v9A&oe=689319ED&_nc_sid=8809c9,Seguir
2024-08-26T20:34:01.000Z,,lenon.rodriguess,lenon.rodriguess,False,https://scontent-gru1-1.cdninstagram.com/v/t51.2885-19/448313452_1546677922897222_8305983774751571368_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42NDAuYzEifQ&_nc_ht=scontent-gru1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFK355uT3yDPHs4qE2d8MNqgLeOIS_047S2EKqdNA5ikP1ySrSjGN8vb5SARprt4olUjXGvKlMkjTXC9HY14dCT&_nc_ohc=NYM1VRRuhkoQ7kNvwFFh8Mf&_nc_gid=QzAYPPHoARVFZrUNmi543A&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQ_qFDAiXu5-UQ8Qm7SpjmWd-km1k63EHuqkTFpZqFmIQ&oe=689337F7&_nc_sid=8809c9,Seguir
2024-08-26T20:34:01.000Z,,ruande295,ruande295,False,https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/499354372_17886194619271952_2359782789148671517_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMxIn0&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFK355uT3yDPHs4qE2d8MNqgLeOIS_047S2EKqdNA5ikP1ySrSjGN8vb5SARprt4olUjXGvKlMkjTXC9HY14dCT&_nc_ohc=0asS7D9DbjUQ7kNvwEk3bNV&_nc_gid=QzAYPPHoARVFZrUNmi543A&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfTPvvN9Zm7JbAUWKfdmw7Nbno55bAhzKd1xWuJpvLCz6w&oe=689344D3&_nc_sid=8809c9,Seguir
